id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4409470987752547,I3YnMwwN5,6700187209,商人白华,O网页链接——8月15-17日，福建省商务厅组织福建金森信息科技有限公司、福州闽宁情商贸有限公司、台江区汉唐食品有限公司等3家商贸企业赴宁夏自治区固原市，参加由该区商务厅、固原市政府共同举办以“发挥产销对接，携手固原扶贫”为主题的“拓宽固原市农产品销售渠道产销对接会”活动。,,,,,0,0,0,2019-08-26 09:34,搜狗高速浏览器,['http://ww2.sinaimg.cn/large/007jriLDgy1g6ctut2eetj30u00hb0vb.jpg'],,
4164256640814877,FqXBK3pZb,6081866829,北丐177_微博·,【为大会献礼：中-南-海-福-禄-寿】1、上证指数全天红盘，郭嘉队用心良苦。2、全天只有9个股涨停，但是其中有六个涨停股的首位汉字却叠加出一个献礼的句子：中环环保南兴装备海联讯福建金森乐金健康寿仙谷（剩下的三个涨停板是农尚环境、美丽环保、三六五网。首位汉字拼接为——三农美！这是表达了大大牵挂贫苦人群的含义，精准扶贫！）【涨幅榜】指标股：伊利股份，康美药业、上汽集团、两桶油、中国太保环保：农尚环境美丽生态中环环保；大千生态德创环保联泰环保医改：贵州百灵，寿仙谷，金域医学，大博医疗健康中国；乐金健康；悦心健康租购同权：三六五网，世联行土改：福建金森、辉隆股份、敦煌种业锂电：圣阳股份军工：华讯方舟（雄安），华力创通（北斗），天海防务家电：TCL、四川长虹芯片：江丰电子、北京君正、紫光国芯、亚翔集成特斯拉：小康股份苹果：蓝思科技妖孽：海联讯、福建金森复牌：南兴装备（IDC）,,,,,0,0,0,2017-10-18 17:40,360安全浏览器,,,
4164236336646175,FqX4ZrSYn,1262511244,北丐177,【为大会献礼：中-南-海-福-禄-寿】1、上证指数全天红盘，郭嘉队用心良苦。2、全天只有9个股涨停，但是其中有六个涨停股的首位汉字却叠加出一个献礼的句子：中环环保南兴装备海联讯福建金森乐金健康寿仙谷（剩下的三个涨停板是农尚环境、美丽环保、三六五网。首位汉字拼接为——三农美！这是表达了大大牵挂贫苦人群的含义，精准扶贫！）【涨幅榜】指标股：伊利股份，康美药业、上汽集团、两桶油、中国太保环保：农尚环境美丽生态中环环保；大千生态德创环保联泰环保医改：贵州百灵，寿仙谷，金域医学，大博医疗健康中国；乐金健康；悦心健康租购同权：三六五网，世联行土改：福建金森、辉隆股份、敦煌种业锂电：圣阳股份军工：华讯方舟（雄安），华力创通（北斗），天海防务家电：TCL、四川长虹芯片：江丰电子、北京君正、紫光国芯、亚翔集成特斯拉：小康股份苹果：蓝思科技妖孽：海联讯、福建金森复牌：南兴装备（IDC）,,,,,5,4,44,2017-10-18 16:19,360安全浏览器,,,
4083430575055861,Ez0prldg9,2749447053,国家林业和草原局,【绿水青山就是金山银山】三明市立足良好的森林生态资源，把深化林权制度改革与扶贫体制机制创新统筹起来，把生态优势与产业扶贫结合起来，已走出了一条生态产业扶贫的新路子。福建金森林业股份有限公司为贫困村、贫困户量身打造了林地入股型、合办营林型、苗木托管型、林权抵押型四种生态产业扶贫新模式，成为“青山绿水就是金山银山”的最好例证。O绿水青山就是金山银山,,,,,1,3,13,2017-03-09 16:46,微博 weibo.com,,,
3902123818930210,D0TfvBt9E,5484501262,鑫突破,8、加强生态文明建设，9、保障和改善民生，10、推进扶贫开发。其中，加强生态文明建设(美丽中国)是首度写入五年规划。诸如：蒙草抗旱、福建金森、大禹节水、亿利能源等收益个股建议博友们注意跟踪关注。,,,,,0,0,0,2015-10-26 09:17,微博 weibo.com,,,
3902123412082429,D0TeR8JJz,5287000914,证券资讯薛秋芬,10、推进扶贫开发。其中，加强生态文明建设(美丽中国)是首度写入五年规划。诸如：蒙草抗旱、福建金森、大禹节水、亿利能源等收益个股建议博友们注意跟踪关注。,,,,,0,0,0,2015-10-26 09:16,微博 weibo.com,,,
3902119721813697,D0T8U7BPb,2627269297,拿券儿助手,改革体制机制；推动协调发展；加强生态文明建设（涉福建金森、菲达环保、丰林集团、蒙草抗旱、铁汉生态等）；保障和改善民生；推进扶贫开发。,,,,,0,0,0,2015-10-26 09:01,微博桌面,,,
3902117942766902,D0T62bBNs,2242933847,枫舞意浓,【生态文明建设写入十三五规划】据人民日报官方微博，我国“十三五”规划的十个任务目标是：1、保持经济增长，2、转变经济发展方式，3、调整优化产业结构，4、推动创新驱动发展，5、加快农业现代化步伐，6、改革体制机制，7、推动协调发展，8、加强生态文明建设，9、保障和改善民生,,,,,1,0,0,2015-10-26 08:54,微博 weibo.com,,,
3902118135823015,D0T6loqPB,2242933847,枫舞意浓,10、推进扶贫开发。其中，加强生态文明建设（美丽中国）首度单列写入五年规划。关上市公司如云投生态（002200）、岭南园林（002717）、蒙草抗旱（300355）、福建金森（002679）、大禹节水（300021）、亿利能源（600277）等。,,,,,0,0,0,2015-10-26 08:55,微博 weibo.com,,,3902117942766902
3346988219574447,xjInrEaKz,1822414055,广州樱子文化传播公司,发表了博文《将乐县举办“青春纪念册”艺术扶贫义演晚会》-8月9日晚，由将乐县文化馆主办，福建金森林业股份有限公司协办的将乐一中2011届高中毕业生以“青春·纪念册”为主题的艺术扶贫义演晚会在镛O网页链接,,,,,0,0,0,2011-08-16 12:07,新浪博客,['http://ww4.sinaimg.cn/large/6c9fd4e7jw1dk79eby2g9j.jpg'],,
