id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4263782656573606,GqLhfrA5U,6258993802,金丰侃股海,股市快讯一、【美股全线收跌特朗普抨击美联储加息美元回吐涨幅】　　美东时间周四，欧美股市全线收跌，道指终结五连涨。期金收跌0.3%报1224.00美元/盎司，创约一年收盘新低，并陷入技术性回调区间。沙特表态即使原油产量录得增长，但出口水平仍将持稳，美油收涨逾1%。美国劳工部公布的经济数据显示，美国7月14日当周首次申请失业救济人数20.7万人，创1969年12月以来新低。特朗普周四接受CNBC采访时表示，美联储正在加息并可能放缓经济增长，对此“我并不感到兴奋”。特朗普称美元走强不利于美国，不满意利率上升。在特朗普讲话后，美元回吐当天早些时候的涨幅，美债收益率也下行。二、【超级高铁正式落户中国有望彻底颠覆人类交通出行方式】　　7月19日，铜仁市与美国超级高铁公司（HTT）举行“真空管道超级高铁研发产业园项目”签约仪式，标志着超级高铁项目落户贵州铜仁迈出了坚实的一步。据了解，这是美国超级高铁公司与中国签署的第一份超级高铁建设协议。根据协议，铜仁市政府与HTT公司将分别以1：1的出资比例在铜仁市成立合资公司，共建“真空管道超级高铁研发产业园”项目。据悉，双方将在铜仁市建一条10公里长的超级高铁线路。　　银轮股份（002126）通过全资子公司上海银轮投资旗下萨摩亚SPV参股HTT。中科三环（000970）世界第二、中国最大的钕铁硼永磁材料生产商。　　三、【国际能源署：2019年中国将成为世界最大的天然气进口国】　　国际能源署在沪发布《天然气市场报告2018》称，预计在2017-2023年间，中国将贡献全球天然气消费增长的37%，高于任何其他国家；在2019年将成为世界最大的天然气进口国，到2023年天然气进口量达到1710亿立方米，其中大部分为液化天然气。　　深冷股份（300540）天然气液化产业链一站式解决方案的提供商，具备日处理500万方LNG液化装置的设计和制造能力，是国产LNG装置运行业绩最多的企业。中远海能（600026）参与投资建造亚马尔项目19艘LNG船舶中的18艘，实现了开辟北极LNG运输航线重大突破。　　四、【中美汽车主动安全需求升级毫米波雷达有望爆发】　　据最新报告指出，车载毫米波雷达受中国新版新车评价指标（C-NCAP）的实行，以及美国NHTSA将自动紧急煞车系统列为新车标配的双重驱动下，将进入高速成长阶段，预计2018年车载毫米波雷达出货量将达6，500万颗，2023年车载毫米波雷达年出货量将达1亿3200万颗。　　随着汽车电子发展与自动驾驶需求，毫米波雷达已成为ADAS与自动驾驶的关键传感器之一，市场需求巨大。　　雷科防务（002413）旗下理工雷科的“77GHz毫米波汽车防撞雷达”成为百度Apollo生态合作伙伴的首个国产毫米波雷达。索菱股份（002766）形成了毫米波雷达（包括24G毫米波雷达、77G毫米波雷达）等自动驾驶产品系统。　　五、【工信部印发《工业互联网平台建设及推广指南》行业再迎政策红利】　　7月19日工业和信息化部发布关于印发《工业互联网平台建设及推广指南》和《工业互联网平台评价方法》的通知。《指南》提出，到2020年，培育10家左右的跨行业跨领域工业互联网平台和一批面向特定行业、特定区域的企业级工业互联网平台，工业APP大规模开发应用体系基本形成，重点工业设备上云取得重大突破，遴选一批工业互联网试点示范（平台方向）项目，建成平台试验测试和公共服务体系，工业互联网平台生态初步形成。　　东方国信（300166）是国内唯一一家同时入选国家级双跨及行业级平台试验测试的工业互联网龙头。宝信软件（600845）公司是国内工业互联网平台龙头之一。　　六、【化妆品成消费市场亮点国产品牌份额逐渐提升】　　商务部新闻发言人19日通报了上半年我国消费市场的亮点，包括网络零售占比提高、便利店等业态增速加快、服务贸易规模持续扩大、改善升级类商品销售平稳、消费价格温和上涨等5个方面。在“改善升级类商品”方面，全国限额以上单位化妆品销售额同比增长14.2%，较上年同期加快2.9个百分点。这一增速在15个商品品类中位居第一。　　珀莱雅（603605）今年签约李易峰为品牌代言人，明星效应明显，曰前还公布了上市以来首次股权激励计划，未来3年目标考核营收、净利润复合增速均不低于30%；上海家化（600315）旗下的佰草集有望成为最先实现高端化的国产化妆品品牌。　　七、【海螺上调水泥熟料价格水泥行业盈利持续向好】　　据中国数字水泥网19日报道，海螺针对江浙沪沿江地区熟料价格上调10元/吨，装船420元。市场之前计划7月底提价，因供应紧张提前上涨，水泥市场淡季不淡　　上半年全国累计水泥产量9.97亿吨，同比下降0.6%，降幅较1-5月份收窄0.2个百分点。6月份单月数据体现出需求冷热不均延续，南方需求整体依旧显著好于北方，其中西南需求因扶贫力度的强化持续超预期　　农村贡献全国水泥需求总量的1/3，需求很可能超预期。国泰君安认为，2017年的精准扶贫政策，拉动了很多地方的水泥需求　　相关公司方面，华新水泥（600801）、万年青（000789）等为区域性市场龙头,,,,,0,0,1,2018-07-20 09:01,微博 weibo.com,['http://ww2.sinaimg.cn/large/006PA6cWgy1ftg1s8qoijj309o09kwf3.jpg'],,
4263774909544172,GqL4KE2Sg,5184137974,A股清道夫,"【行业热评】1、海螺上调水泥熟料价格，水泥行业盈利持续向好。市场之前计划7月底提价，因供应紧张提前上涨，水泥市场淡季不淡。6月份单月数据体现出需求冷热不均延续，南方需求整体依旧显著好于北方，其中西南需求因扶贫力度的强化持续超预期。另外，华北积压项目逐步启动，需求恢复也好于市场预期。农村贡献全国水泥需求总量的1/3,需求很可能超预期。国泰君安认为，2017年的精准扶贫政策，拉动了很多地方的水泥需求。另外，行业错峰力度的进一步强化，三季度水泥市场将淡季不淡。相关公司方面，华新水泥sh600801、万年青sz000789等为区域性市场龙头。2、化妆品成消费市场亮点，国产品牌份额逐渐提升。商务部新闻发言人19日通报了上半年我国消费市场的亮点，包括网络零售占比提高、便利店等业态增速加快、服务贸易规模持续扩大、改善升级类商品销售平稳、消费价格温和上涨等5个方面。在""改善升级类商品”方面，全国限额以上单位化妆品销售额同比增长14.2%,较上年同期加快2.9个百分点。这一增速在15个商品品类中位居第一。在此过程中，一些国产品牌受益于低线城市消费崛起带来的大众美妆红利，市场份额也在不断上升。据研究机构统计，TOP20公司中，本土企业市占率已由2012年的3.9%增长至2017年的10.3%。珀莱雅sh603605今年签约李易峰为品牌代言人，明星效应明显，曰前还公布了上市以来首次股权激励计划，未来3年目标考核营收、净利润复合增速均不低于30%；上海家化sh600315旗下的佰草集有望成为最先实现高端化的国产化妆品品牌。3、工信部部署工业互联网平台（《工业互联网平台建设及推广指南》和《工业互联网平台评价方法》），龙头将享先发优势。《指南》提出，到2020年，培育10家左右的跨行业跨领域工业互联网平台和一批面向特定行业、特定区域的企业级工业互联网平台，工业APP大规模开发应用体系基本形成，重点工业设备上云取得重大突破，遴选一批工业互联网试点示范（平台方向）项目，建成平台试验测试和公共服务体系，工业互联网平台生态初步形成。《方法》则对工业互联网平台的资源管理能力、应用服务能力、基础技术能力等提出了要求。方正证券认为，核心平台未来将是连接30万工业上云客户和30万工业APP的核心枢纽，以PaaS和工业操作系统形式存在，价值巨大。工业互联网平台在国内目前尚处于行业起步阶段，获得国家支持及行业认可的平台将进一步提高企业在行业内的品牌效应，获取先发优势。东方国信sz300166同时入选国家级双跨测试平台以及特定行业测试平台。用友网络sh600588入选国家级双跨测试平台，彰显在工业互联网领域的技术和龙头实力。宝信软件sh600845公司是国内工业互联网平台龙头之一。4、超级高铁正式落户中国，有望彻底颠覆人类交通出行方式。据报道，7月19日，铜仁市与美国超级高铁公司（HTT）举行“真空管道超级高铁研发产业园项目”签约仪式，标志着超级高铁项目落户贵州铜仁迈出了坚实的一步。据了解，这是美国超级高铁公司与中国签署的第一份超级高铁建设协议。根据协议，铜仁市政府与HTT公司将分别以1:1的出资比例在铜仁市成立合资公司，共建“真空管道超级高铁研发产业园”项目。据悉，双方将在铜仁市建一条10公里长的超级高铁线路。点评：Hyperloop超级高铁的出现，有望彻底改变人们的交通出行方式，被称为继汽车、火车、飞机和船舶之后的第五种交通方式。超级高铁在接近真空的管道内实现每小时760英里(约合1220公里)的高速运行，这一速度接近音速。目前的可行性方案为真空磁悬浮技术，列车和轨道将大量采用稀土永磁材料。有资料显示，HTT公司研发的超级高铁即使用“被动磁悬浮”系统。银轮股份sz002126通过全资子公司上海银轮投资旗下萨摩亚SPV参股HTT。中科三环sz000970是世界第二、中国最大的钕铁硼永磁材料生产商。中国铁建sh601186全资子公司中铁磁浮交通投资建设有限公司出席了签约仪式，有望成为项目建设主体。",,,,,0,0,123,2018-07-20 08:30,360安全浏览器,,,
4219309562019634,G86ks8toK,5944320884,股票高志老师,指数表现很争气，低开走高全线收红，创业板大涨2%强势领涨，代表新经济的科技股仍是主线，周期股延续弱势调整格局。独角兽两极分化严重，总龙头万兴科技霸气八涨停，创业黑马、华金资本、神州信息成功连板，资金新挖掘的银轮股份直接被顶一字板。江南化工、安彩高科等大幅调整。工业互联网崛起，低位的佳讯飞鸿拉板被砸，海得控制巨震大幅冲高；集成电路板块发力，趋势票兆易创新长阳反包，全志科技、中科曙光等涨幅居前；创蓝筹卫宁健康涨停趋势突破。超跌股成为行情主角，环保（德创环保、鹏鹞环保）、扶贫（永吉股份）、一季报预增（华铭智能）、高送转（凯伦股份）、5G（佳力图）、次新（洛凯股份、春秋电子、联诚精密）等局面活跃。永吉股份sh603058凯龙股份sz002783,,,,,0,1,1,2018-03-19 15:40,微博 weibo.com,,,
4219269380565291,G85hE2n3B,1801377947,风形扬,上证指数sh000001【午间复盘：独角兽两极分化，超跌股开启补涨】指数表现很争气，低开走高全线收红，创业板大涨2%强势领涨，代表新经济的科技股仍是主线，周期股延续弱势调整格局。独角兽两极分化严重，总龙头万兴科技sz300624万兴科技霸气八涨停，创业黑马、华金资本、神州信息成功连板，资金新挖掘的银轮股份直接被顶一字板。江南化工、安彩高科等大幅调整。工业互联网崛起，低位的佳讯飞鸿拉板被砸，海得控制巨震大幅冲高；集成电路板块发力，趋势票兆易创新长阳反包，全志科技、中科曙光等涨幅居前；创蓝筹卫宁健康涨停趋势突破。超跌股成为行情主角，环保（德创环保、鹏鹞环保）、扶贫（永吉股份）、一季报预增（华铭智能）、高送转（凯伦股份）、5G（佳力图）、次新（洛凯股份、春秋电子、联诚精密）等局面活跃。,,,,,0,0,1,2018-03-19 13:01,告别不快vivo V3Max,,,
4219256146789873,G84Wisum5,1725765581,股市刀锋,【午间复盘：独角兽两极分化，超跌股开启补涨】指数表现很争气，低开走高全线收红，创业板大涨2%强势领涨，代表新经济的科技股仍是主线，周期股延续弱势调整格局。独角兽两极分化严重，总龙头万兴科技霸气八涨停，创业黑马、华金资本、神州信息成功连板，资金新挖掘的银轮股份直接被顶一字板。江南化工、安彩高科等大幅调整。工业互联网崛起，低位的佳讯飞鸿拉板被砸，海得控制巨震大幅冲高；集成电路板块发力，趋势票兆易创新长阳反包，全志科技、中科曙光等涨幅居前；创蓝筹卫宁健康涨停趋势突破。超跌股成为行情主角，环保（德创环保、鹏鹞环保）、扶贫（永吉股份）、一季报预增（华铭智能）、高送转（凯伦股份）、5G（佳力图）、次新（洛凯股份、春秋电子、联诚精密）等局面活跃。,,,,,4,5,16,2018-03-19 12:08,搜狗高速浏览器,['http://ww4.sinaimg.cn/large/66dd17cdly1fphzzhxqhvj20cp08gq3h.jpg'],,
4263787701799070,GqLpo7y1g,3858780599,妖股_传说,"7月20日信息早餐：新闻快报：外交部：中方为避免贸易摩擦升级尽了最大努力。央行:外汇占款连续六个月上升。深交所:中小创公司分红热情高，2017年分红公司占比达八成。云南普洱:发布楼市新政，非本市户籍限购1套，满两年方可交易。中消协:公开征集有关“法国队夺冠,华帝退全款”活动引发的投诉。超级高铁:美国超级高铁公司（HTT）“真空管道超级高铁研发产业园项目”落户贵州.知乎：完成新一轮近3亿美元融资。长生生物:狂犬病疫苗生产记录造假,被吉林食药监局罚没344万元.洽洽食品：瓜子涨价提价幅度为6％-14.5％不等.盘江股份：贵州省拟组建盘江煤电集团,公司实控人将更名.比亚迪：子公司中标逾55亿元纯电动客车项目.天银机电：拟收购成都益为创65％股权,转让方将增持.粤水电：联合中标7.77亿元EPC项目.中国联通：6月份4G用户净增277.5万户.华力创通：北斗车载定位终端已应用于约1万台公务车.豫园股份：控股股东拟增持不超2％股份.鸿利智汇：金舵投资受让6％股份成为第一大股东,拟继续增持.世名科技：股东红塔创新拟减持不超1.636％股份.柏堡龙：两家定增股东拟减持不超6％股份.健友股份：股东拟减持不超5.8324％股份.永东股份：股东东方富海拟减持不超2％股份.世名科技：股东红塔创新拟减持不超1.636％股份.万科A：钜盛华已合计减持5%公司股份，不排除未来12个月内继续减持。海航控股：拟104.78亿元收购多家公司股权，股票复牌。永泰集团：获五家银行百亿授信，违约债券暂未与投资人达成一致。投资内参：1.超级高铁：据报道，7月19日，铜仁市与美国超级高铁公司（HTT）举行“真空管道超级高铁研发产业园项目”签约仪式，标志着超级高铁项目落户贵州铜仁迈出了坚实的一步。据了解，这是美国超级高铁公司与中国签署的第一份超级高铁建设协议。根据协议，铜仁市政府与HTT公司将分别以1:1的出资比例在铜仁市成立合资公司，共建“真空管道超级高铁研发产业园”项目。据悉，双方将在铜仁市建一条10公里长的超级高铁线路。关注：银轮股份（002126）、中科三环（000970）、亚夏汽车（002607） 2.毫米波雷达：据最新报告指出，车载毫米波雷达受中国新版新车评价指标(C-NCAP)的实行，以及美国NHTSA将自动紧急煞车系统列为新车标配的双重驱动下，将进入高速成长阶段，预计2018年车载毫米波雷达出货量将达6,500万颗，2023年车载毫米波雷达年出货量将达1亿3200万颗。关注：雷科防务（002413）、索菱股份（002766） 3.水泥涨价：据中国数字水泥网19日报道，海螺针对江浙沪沿江地区熟料价格上调10元/吨，装船420元。市场之前计划7月底提价，因供应紧张提前上涨，水泥市场淡季不淡。上半年全国累计水泥产量9.97亿吨，同比下降0.6%，南方需求整体依旧显著好于北方，因精准扶贫政策拉动了很多地方的水泥需求。另外，行业错峰力度的进一步强化，三季度水泥市场将淡季不淡。关注：华新水泥（600801）、万年青（000789）今日看盘上证指数sh000001创业板指sz399006",,,,,0,1,6,2018-07-20 09:21,搜狗高速浏览器,,,
4263782656573606,GqLhfrA5U,6258993802,金丰侃股海,股市快讯一、【美股全线收跌特朗普抨击美联储加息美元回吐涨幅】　　美东时间周四，欧美股市全线收跌，道指终结五连涨。期金收跌0.3%报1224.00美元/盎司，创约一年收盘新低，并陷入技术性回调区间。沙特表态即使原油产量录得增长，但出口水平仍将持稳，美油收涨逾1%。美国劳工部公布的经济数据显示，美国7月14日当周首次申请失业救济人数20.7万人，创1969年12月以来新低。特朗普周四接受CNBC采访时表示，美联储正在加息并可能放缓经济增长，对此“我并不感到兴奋”。特朗普称美元走强不利于美国，不满意利率上升。在特朗普讲话后，美元回吐当天早些时候的涨幅，美债收益率也下行。二、【超级高铁正式落户中国有望彻底颠覆人类交通出行方式】　　7月19日，铜仁市与美国超级高铁公司（HTT）举行“真空管道超级高铁研发产业园项目”签约仪式，标志着超级高铁项目落户贵州铜仁迈出了坚实的一步。据了解，这是美国超级高铁公司与中国签署的第一份超级高铁建设协议。根据协议，铜仁市政府与HTT公司将分别以1：1的出资比例在铜仁市成立合资公司，共建“真空管道超级高铁研发产业园”项目。据悉，双方将在铜仁市建一条10公里长的超级高铁线路。　　银轮股份（002126）通过全资子公司上海银轮投资旗下萨摩亚SPV参股HTT。中科三环（000970）世界第二、中国最大的钕铁硼永磁材料生产商。　　三、【国际能源署：2019年中国将成为世界最大的天然气进口国】　　国际能源署在沪发布《天然气市场报告2018》称，预计在2017-2023年间，中国将贡献全球天然气消费增长的37%，高于任何其他国家；在2019年将成为世界最大的天然气进口国，到2023年天然气进口量达到1710亿立方米，其中大部分为液化天然气。　　深冷股份（300540）天然气液化产业链一站式解决方案的提供商，具备日处理500万方LNG液化装置的设计和制造能力，是国产LNG装置运行业绩最多的企业。中远海能（600026）参与投资建造亚马尔项目19艘LNG船舶中的18艘，实现了开辟北极LNG运输航线重大突破。　　四、【中美汽车主动安全需求升级毫米波雷达有望爆发】　　据最新报告指出，车载毫米波雷达受中国新版新车评价指标（C-NCAP）的实行，以及美国NHTSA将自动紧急煞车系统列为新车标配的双重驱动下，将进入高速成长阶段，预计2018年车载毫米波雷达出货量将达6，500万颗，2023年车载毫米波雷达年出货量将达1亿3200万颗。　　随着汽车电子发展与自动驾驶需求，毫米波雷达已成为ADAS与自动驾驶的关键传感器之一，市场需求巨大。　　雷科防务（002413）旗下理工雷科的“77GHz毫米波汽车防撞雷达”成为百度Apollo生态合作伙伴的首个国产毫米波雷达。索菱股份（002766）形成了毫米波雷达（包括24G毫米波雷达、77G毫米波雷达）等自动驾驶产品系统。　　五、【工信部印发《工业互联网平台建设及推广指南》行业再迎政策红利】　　7月19日工业和信息化部发布关于印发《工业互联网平台建设及推广指南》和《工业互联网平台评价方法》的通知。《指南》提出，到2020年，培育10家左右的跨行业跨领域工业互联网平台和一批面向特定行业、特定区域的企业级工业互联网平台，工业APP大规模开发应用体系基本形成，重点工业设备上云取得重大突破，遴选一批工业互联网试点示范（平台方向）项目，建成平台试验测试和公共服务体系，工业互联网平台生态初步形成。　　东方国信（300166）是国内唯一一家同时入选国家级双跨及行业级平台试验测试的工业互联网龙头。宝信软件（600845）公司是国内工业互联网平台龙头之一。　　六、【化妆品成消费市场亮点国产品牌份额逐渐提升】　　商务部新闻发言人19日通报了上半年我国消费市场的亮点，包括网络零售占比提高、便利店等业态增速加快、服务贸易规模持续扩大、改善升级类商品销售平稳、消费价格温和上涨等5个方面。在“改善升级类商品”方面，全国限额以上单位化妆品销售额同比增长14.2%，较上年同期加快2.9个百分点。这一增速在15个商品品类中位居第一。　　珀莱雅（603605）今年签约李易峰为品牌代言人，明星效应明显，曰前还公布了上市以来首次股权激励计划，未来3年目标考核营收、净利润复合增速均不低于30%；上海家化（600315）旗下的佰草集有望成为最先实现高端化的国产化妆品品牌。　　七、【海螺上调水泥熟料价格水泥行业盈利持续向好】　　据中国数字水泥网19日报道，海螺针对江浙沪沿江地区熟料价格上调10元/吨，装船420元。市场之前计划7月底提价，因供应紧张提前上涨，水泥市场淡季不淡　　上半年全国累计水泥产量9.97亿吨，同比下降0.6%，降幅较1-5月份收窄0.2个百分点。6月份单月数据体现出需求冷热不均延续，南方需求整体依旧显著好于北方，其中西南需求因扶贫力度的强化持续超预期　　农村贡献全国水泥需求总量的1/3，需求很可能超预期。国泰君安认为，2017年的精准扶贫政策，拉动了很多地方的水泥需求　　相关公司方面，华新水泥（600801）、万年青（000789）等为区域性市场龙头,,,,,0,0,1,2018-07-20 09:01,微博 weibo.com,['http://ww3.sinaimg.cn/large/006PA6cWgy1ftg1s8qoijj309o09kwf3.jpg'],,
4263774909544172,GqL4KE2Sg,5184137974,A股清道夫,"【行业热评】1、海螺上调水泥熟料价格，水泥行业盈利持续向好。市场之前计划7月底提价，因供应紧张提前上涨，水泥市场淡季不淡。6月份单月数据体现出需求冷热不均延续，南方需求整体依旧显著好于北方，其中西南需求因扶贫力度的强化持续超预期。另外，华北积压项目逐步启动，需求恢复也好于市场预期。农村贡献全国水泥需求总量的1/3,需求很可能超预期。国泰君安认为，2017年的精准扶贫政策，拉动了很多地方的水泥需求。另外，行业错峰力度的进一步强化，三季度水泥市场将淡季不淡。相关公司方面，华新水泥sh600801、万年青sz000789等为区域性市场龙头。2、化妆品成消费市场亮点，国产品牌份额逐渐提升。商务部新闻发言人19日通报了上半年我国消费市场的亮点，包括网络零售占比提高、便利店等业态增速加快、服务贸易规模持续扩大、改善升级类商品销售平稳、消费价格温和上涨等5个方面。在""改善升级类商品”方面，全国限额以上单位化妆品销售额同比增长14.2%,较上年同期加快2.9个百分点。这一增速在15个商品品类中位居第一。在此过程中，一些国产品牌受益于低线城市消费崛起带来的大众美妆红利，市场份额也在不断上升。据研究机构统计，TOP20公司中，本土企业市占率已由2012年的3.9%增长至2017年的10.3%。珀莱雅sh603605今年签约李易峰为品牌代言人，明星效应明显，曰前还公布了上市以来首次股权激励计划，未来3年目标考核营收、净利润复合增速均不低于30%；上海家化sh600315旗下的佰草集有望成为最先实现高端化的国产化妆品品牌。3、工信部部署工业互联网平台（《工业互联网平台建设及推广指南》和《工业互联网平台评价方法》），龙头将享先发优势。《指南》提出，到2020年，培育10家左右的跨行业跨领域工业互联网平台和一批面向特定行业、特定区域的企业级工业互联网平台，工业APP大规模开发应用体系基本形成，重点工业设备上云取得重大突破，遴选一批工业互联网试点示范（平台方向）项目，建成平台试验测试和公共服务体系，工业互联网平台生态初步形成。《方法》则对工业互联网平台的资源管理能力、应用服务能力、基础技术能力等提出了要求。方正证券认为，核心平台未来将是连接30万工业上云客户和30万工业APP的核心枢纽，以PaaS和工业操作系统形式存在，价值巨大。工业互联网平台在国内目前尚处于行业起步阶段，获得国家支持及行业认可的平台将进一步提高企业在行业内的品牌效应，获取先发优势。东方国信sz300166同时入选国家级双跨测试平台以及特定行业测试平台。用友网络sh600588入选国家级双跨测试平台，彰显在工业互联网领域的技术和龙头实力。宝信软件sh600845公司是国内工业互联网平台龙头之一。4、超级高铁正式落户中国，有望彻底颠覆人类交通出行方式。据报道，7月19日，铜仁市与美国超级高铁公司（HTT）举行“真空管道超级高铁研发产业园项目”签约仪式，标志着超级高铁项目落户贵州铜仁迈出了坚实的一步。据了解，这是美国超级高铁公司与中国签署的第一份超级高铁建设协议。根据协议，铜仁市政府与HTT公司将分别以1:1的出资比例在铜仁市成立合资公司，共建“真空管道超级高铁研发产业园”项目。据悉，双方将在铜仁市建一条10公里长的超级高铁线路。点评：Hyperloop超级高铁的出现，有望彻底改变人们的交通出行方式，被称为继汽车、火车、飞机和船舶之后的第五种交通方式。超级高铁在接近真空的管道内实现每小时760英里(约合1220公里)的高速运行，这一速度接近音速。目前的可行性方案为真空磁悬浮技术，列车和轨道将大量采用稀土永磁材料。有资料显示，HTT公司研发的超级高铁即使用“被动磁悬浮”系统。银轮股份sz002126通过全资子公司上海银轮投资旗下萨摩亚SPV参股HTT。中科三环sz000970是世界第二、中国最大的钕铁硼永磁材料生产商。中国铁建sh601186全资子公司中铁磁浮交通投资建设有限公司出席了签约仪式，有望成为项目建设主体。",,,,,0,0,123,2018-07-20 08:30,360安全浏览器,,,
4219309562019634,G86ks8toK,5944320884,股票高志老师,指数表现很争气，低开走高全线收红，创业板大涨2%强势领涨，代表新经济的科技股仍是主线，周期股延续弱势调整格局。独角兽两极分化严重，总龙头万兴科技霸气八涨停，创业黑马、华金资本、神州信息成功连板，资金新挖掘的银轮股份直接被顶一字板。江南化工、安彩高科等大幅调整。工业互联网崛起，低位的佳讯飞鸿拉板被砸，海得控制巨震大幅冲高；集成电路板块发力，趋势票兆易创新长阳反包，全志科技、中科曙光等涨幅居前；创蓝筹卫宁健康涨停趋势突破。超跌股成为行情主角，环保（德创环保、鹏鹞环保）、扶贫（永吉股份）、一季报预增（华铭智能）、高送转（凯伦股份）、5G（佳力图）、次新（洛凯股份、春秋电子、联诚精密）等局面活跃。永吉股份sh603058凯龙股份sz002783,,,,,0,1,1,2018-03-19 15:40,微博 weibo.com,,,
4219269380565291,G85hE2n3B,1801377947,风形扬,上证指数sh000001【午间复盘：独角兽两极分化，超跌股开启补涨】指数表现很争气，低开走高全线收红，创业板大涨2%强势领涨，代表新经济的科技股仍是主线，周期股延续弱势调整格局。独角兽两极分化严重，总龙头万兴科技sz300624万兴科技霸气八涨停，创业黑马、华金资本、神州信息成功连板，资金新挖掘的银轮股份直接被顶一字板。江南化工、安彩高科等大幅调整。工业互联网崛起，低位的佳讯飞鸿拉板被砸，海得控制巨震大幅冲高；集成电路板块发力，趋势票兆易创新长阳反包，全志科技、中科曙光等涨幅居前；创蓝筹卫宁健康涨停趋势突破。超跌股成为行情主角，环保（德创环保、鹏鹞环保）、扶贫（永吉股份）、一季报预增（华铭智能）、高送转（凯伦股份）、5G（佳力图）、次新（洛凯股份、春秋电子、联诚精密）等局面活跃。,,,,,0,0,1,2018-03-19 13:01,告别不快vivo V3Max,,,
